puuid,platform,match_routing
aTq123HHaHO2jCwwPZ6r71-8BtSZX6IQ7e_d-zhSUECTYzWHSbxHZb2HHYd-RMUhwJU6J2vGSjAktw,kr,asia
zGi7ynIVjtqVKJ4ISoGW3Ati-nGRXMsdz-P4kqqWpP99V5jzciXOB35-_HPxfWvp4s6iQrtK45CBzQ,kr,asia
uwGJRCl8LL9wM77rcPSz1yH6SefBItvpMoohkDCIVRlxtQfv3gU7awPPmLQzH_liEly4fSLJbHsEnA,euw1,europe
0s0ttMUsUv9CjSUEkBHNGcdog4x5snBzMb1WOP42s6iXWx9EPCDVqTLIG06UWEDm1tnUlSqfNix1uw,euw1,europe
f03ACLysqMxuKrmTiCKacFsOcbxW8ybjOPvRc3jSFqQDWtOIaeIOvXFtsuqhTxaIuFjyTbxCc4ltyA,na1,americas
-oXAnOTkryz7xppr16KFKlMfa5c9BgjsydzjhFpJogRclYZNsbhou9OCrXl8juzp9sV8gaiil2ZYEQ,na1,americas
MMVgfVMsrqLPucPweYYmL6hOp_zrMmlgmqax-XRMWsrA9Gf04jogNa5rirFWQBnkExcECqczVx8rXg,na1,americas
hDuwCL8z-CPKpvwj60JMCznqdrsUoqeua39D0CYXEbfcj0i5CTnu9Vtbr5RgN7mKlaS9q55sQ0Y_5Q,kr,asia
6AtITDYe6MDo6vvetvtrkghVFay9TCRM6x-1gQ9CREU_s9knxH3pbmBz25HRUQihHxKGa-GJMS5z3Q,kr,asia
RpNMesDYC7I0dqm5JxDs0RuFg4ecUaoBqY0KdnwAtrBB-e6eddctCklqIcdPfFw4RFdD0OFeLCDdwA,euw1,europe
vnqIjC_ioUiepfHnnaaHdQazk2bjFnKXnadW1VBX8kkZaWXeeeMhVwbwmssDg8UMPnCsodTrFLfLWw,kr,asia
kcoPyY3kguOuJiUnDez-m9AMAgbBFqrIL_z9ZSRDQ41s3hxl9FhseGPkt6zE5YoP-W4S3h0uswPdEw,vn2,sea
3MeqZ_bgcGFoUexR6hzema6l3jhOwnLboHn8cgbWDiEw3bfec3mCEA_yRt3CNZBoP4HlQr1K1lS5mQ,vn2,sea
C0VPEQJtnWk7kdZSEfjJs3gbeEFqirLxIvNzL4IWfgyDmU9IzbFaskv45MsdjPNqNe7LK_8nXtSfig,kr,asia
